,Country Code,Country Code (Metadata - Countries),Country Name,Income Group,Income Group (group),Region,SpecialNotes,TableName,Year,CO2 (kt),CO2 Per Capita (metric tons),Oil - Crude prices since 1861
35,ABW,ABW,Aruba,High income: nonOECD,High income: nonOECD,Latin America & Caribbean,SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.,Aruba,1960,,,1.9
36,ARG,ARG,Argentina,High income: nonOECD,High income: nonOECD,Latin America & Caribbean,The base year has changed to 2004.,Argentina,1960,48815.104,2.367473032,1.9
37,MLT,MLT,Malta,High income: nonOECD,High income: nonOECD,Middle East & North Africa,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Malta,1960,341.031,1.044345429,1.9
38,ARE,ARE,United Arab Emirates,High income: nonOECD,High income: nonOECD,Middle East & North Africa,"April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised for 2001 onward; the base year changed to 2007.",United Arab Emirates,1960,11.001,0.118785902,1.9
39,QAT,QAT,Qatar,High income: nonOECD,High income: nonOECD,Middle East & North Africa,"Based on data from the Qatar Ministry of Development Planning and Statistics and the Qatar Central Bank, the new base year is 2013.",Qatar,1960,176.016,3.72056057,1.9
40,SAU,SAU,Saudi Arabia,High income: nonOECD,High income: nonOECD,Middle East & North Africa,"Based on data from the Saudi Central Department of Statistics and Information under the authority of the Ministry of Economy and Planning, the new base year is 2010.",Saudi Arabia,1960,2676.91,0.655055537,1.9
41,BHR,BHR,Bahrain,High income: nonOECD,High income: nonOECD,Middle East & North Africa,Based on official government statistics; the new base year is 2010.,Bahrain,1960,575.719,3.542864352,1.9
42,OMN,OMN,Oman,High income: nonOECD,High income: nonOECD,Middle East & North Africa,Based on official government statistics; the new base year is 2010.,Oman,1960,,,1.9
43,KWT,KWT,Kuwait,High income: nonOECD,High income: nonOECD,Middle East & North Africa,Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics; the new base year is 2010.,Kuwait,1960,7803.376,29.78819829,1.9
44,BMU,BMU,Bermuda,High income: nonOECD,High income: nonOECD,North America,,Bermuda,1960,157.681,3.551373874,1.9
45,SYC,SYC,Seychelles,High income: nonOECD,High income: nonOECD,Sub-Saharan Africa,"April 2013 database update: Based on official government statistics, national accounts data were revised for 1976 onward; the base year changed to 2006.",Seychelles,1960,,,1.9
46,GNQ,GNQ,Equatorial Guinea,High income: nonOECD,High income: nonOECD,Sub-Saharan Africa,National accounts have been revised from 1980 onward based on IMF data and official government statistics; the new base year is 2006.,Equatorial Guinea,1960,22.002,0.087269698,1.9
47,AUS,AUS,Australia,High income: OECD,High income: OECD,East Asia & Pacific,Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics; data revised from 1990 onward; Australia reports using SNA 2008.,Australia,1960,88202.351,8.582936643,1.9
48,JPN,JPN,Japan,High income: OECD,High income: OECD,East Asia & Pacific,Fiscal year end: March 31; reporting period for national accounts data: CY.,Japan,1960,232781.16,2.516537519,1.9
49,NZL,NZL,New Zealand,High income: OECD,High income: OECD,East Asia & Pacific,Fiscal year end: March 31; reporting period for national accounts data: CY.,New Zealand,1960,11543.716,4.867069736,1.9
50,KOR,KOR,"Korea, Rep.",High income: OECD,High income: OECD,East Asia & Pacific,The new base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.,"Korea, Rep.",1960,12552.141,0.501837251,1.9
51,CHE,CHE,Switzerland,High income: OECD,High income: OECD,Europe & Central Asia,,Switzerland,1960,19523.108,3.664365979,1.9
52,CZE,CZE,Czech Republic,High income: OECD,High income: OECD,Europe & Central Asia,,Czech Republic,1960,,,1.9
53,DNK,DNK,Denmark,High income: OECD,High income: OECD,Europe & Central Asia,,Denmark,1960,29779.707,6.502683093,1.9
54,GBR,GBR,United Kingdom,High income: OECD,High income: OECD,Europe & Central Asia,,United Kingdom,1960,584299.78,11.15075916,1.9
55,ISL,ISL,Iceland,High income: OECD,High income: OECD,Europe & Central Asia,,Iceland,1960,1213.777,6.913193297,1.9
56,NOR,NOR,Norway,High income: OECD,High income: OECD,Europe & Central Asia,,Norway,1960,13102.191,3.658563698,1.9
57,POL,POL,Poland,High income: OECD,High income: OECD,Europe & Central Asia,,Poland,1960,199767.159,6.740362582,1.9
58,SVN,SVN,Slovenia,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Slovenia,1960,,,1.9
59,SVK,SVK,Slovak Republic,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Slovak Republic,1960,,,1.9
60,EST,EST,Estonia,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Estonia,1960,,,1.9
61,IRL,IRL,Ireland,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Ireland,1960,11180.683,3.952726791,1.9
62,DEU,DEU,Germany,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Germany,1960,,,1.9
63,AUT,AUT,Austria,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Austria,1960,30821.135,4.373318828,1.9
64,ESP,ESP,Spain,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Spain,1960,48928.781,1.606592711,1.9
65,ITA,ITA,Italy,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Italy,1960,109357.274,2.178444772,1.9
66,NLD,NLD,Netherlands,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Netherlands,1960,73505.015,6.39917962,1.9
67,PRT,PRT,Portugal,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Portugal,1960,8225.081,0.928578089,1.9
68,GRC,GRC,Greece,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Greece,1960,9405.855,1.128920482,1.9
69,BEL,BEL,Belgium,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Belgium,1960,91000.272,9.941594074,1.9
70,LUX,LUX,Luxembourg,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Luxembourg,1960,11518.047,36.6851833,1.9
71,FIN,FIN,Finland,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Finland,1960,15104.373,3.409846728,1.9
72,FRA,FRA,France,High income: OECD,High income: OECD,Europe & Central Asia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",France,1960,271218.654,5.793507945,1.9
73,HUN,HUN,Hungary,High income: OECD,High income: OECD,Europe & Central Asia,"April 2012 database update: Based on data from the Organisation for Economic Co-operation and Development, national accounts data were revised for 1991 onward.",Hungary,1960,45371.791,4.544465241,1.9
74,SWE,SWE,Sweden,High income: OECD,High income: OECD,Europe & Central Asia,Fiscal year end: June 30; reporting period for national accounts data: CY.,Sweden,1960,49222.141,6.576406584,1.9
75,CHL,CHL,Chile,High income: OECD,High income: OECD,Latin America & Caribbean,,Chile,1960,13490.893,1.75304482,1.9
76,ISR,ISR,Israel,High income: OECD,High income: OECD,Middle East & North Africa,Based on official government statistics for chain linked series; the new reference year is 2010.,Israel,1960,6468.588,3.059851846,1.9
77,CAN,CAN,Canada,High income: OECD,High income: OECD,North America,Fiscal year end: March 31; reporting period for national accounts data: CY.,Canada,1960,192895.201,10.77084729,1.9
78,USA,USA,United States,High income: OECD,High income: OECD,North America,Fiscal year end: September 30; reporting period for national accounts data: CY.,United States,1960,2890696.1,15.99977916,1.9
79,KHM,KHM,Cambodia,Low income,Low income,East Asia & Pacific,,Cambodia,1960,234.688,0.041012378,1.9
80,PRK,PRK,"Korea, Dem. People’s Rep.",Low income,Low income,East Asia & Pacific,,"Korea, Dem. People's Rep.",1960,,,1.9
81,HTI,HTI,Haiti,Low income,Low income,Latin America & Caribbean,"Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.",Haiti,1960,286.026,0.073981936,1.9
82,NPL,NPL,Nepal,Low income,Low income,South Asia,Fiscal year end: July 14; reporting period for national accounts data: FY.,Nepal,1960,80.674,0.00802172,1.9
83,AFG,AFG,Afghanistan,Low income,Low income,South Asia,Fiscal year end: March 20; reporting period for national accounts data: FY (from 2013 are CY). National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.,Afghanistan,1960,414.371,0.046067875,1.9
84,BDI,BDI,Burundi,Low income,Low income,Sub-Saharan Africa,,Burundi,1960,,,1.9
85,BFA,BFA,Burkina Faso,Low income,Low income,Sub-Saharan Africa,,Burkina Faso,1960,44.004,0.009111897,1.9
86,CAF,CAF,Central African Republic,Low income,Low income,Sub-Saharan Africa,,Central African Republic,1960,88.008,0.058535378,1.9
87,COM,COM,Comoros,Low income,Low income,Sub-Saharan Africa,,Comoros,1960,11.001,0.058289002,1.9
88,GIN,GIN,Guinea,Low income,Low income,Sub-Saharan Africa,,Guinea,1960,410.704,0.114804749,1.9
89,MDG,MDG,Madagascar,Low income,Low income,Sub-Saharan Africa,,Madagascar,1960,399.703,0.078382804,1.9
90,MLI,MLI,Mali,Low income,Low income,Sub-Saharan Africa,,Mali,1960,121.011,0.022989591,1.9
91,SOM,SOM,Somalia,Low income,Low income,Sub-Saharan Africa,,Somalia,1960,84.341,0.030598466,1.9
92,TGO,TGO,Togo,Low income,Low income,Sub-Saharan Africa,"April 2013 database update: Based on IMF data, national accounts data have been revised for 2000; the new base year is 2000.",Togo,1960,66.006,0.04176239,1.9
93,ERI,ERI,Eritrea,Low income,Low income,Sub-Saharan Africa,"April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.",Eritrea,1960,,,1.9
94,TCD,TCD,Chad,Low income,Low income,Sub-Saharan Africa,"Based on IMF data, national accounts data have been revised for 2005 onward; the new base year is 2005.",Chad,1960,55.005,0.018319148,1.9
95,RWA,RWA,Rwanda,Low income,Low income,Sub-Saharan Africa,"Based on official government statistics, national accounts data are revised for 2006 onward; the new base year is 2011. Rwanda reports using SNA 2008.",Rwanda,1960,106.343,0.036252175,1.9
96,NER,NER,Niger,Low income,Low income,Sub-Saharan Africa,"Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006.",Niger,1960,29.336,0.008640403,1.9
97,BEN,BEN,Benin,Low income,Low income,Sub-Saharan Africa,"Based on official government statistics, the new base year is 2007. Price valuation is in basic prices.",Benin,1960,161.348,0.066354118,1.9
98,COD,COD,"Congo, Dem. Rep.",Low income,Low income,Sub-Saharan Africa,Based on official government statistics; the new base year 2005.,"Congo, Dem. Rep.",1960,2321.211,0.152228066,1.9
99,MOZ,MOZ,Mozambique,Low income,Low income,Sub-Saharan Africa,Based on official government statistics; the new base year is 2009.,Mozambique,1960,1884.838,0.251537178,1.9
100,ETH,ETH,Ethiopia,Low income,Low income,Sub-Saharan Africa,"Fiscal year end: July 7; reporting period for national accounts data: FY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2010/11.",Ethiopia,1960,352.032,0.015892219,1.9
101,SLE,SLE,Sierra Leone,Low income,Low income,Sub-Saharan Africa,"Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 1990 onward; the base year changed to 2006.",Sierra Leone,1960,715.065,0.327755728,1.9
102,GMB,GMB,"Gambia, The",Low income,Low income,Sub-Saharan Africa,"Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 2004 onward; the base year changed to 2004.","Gambia, The",1960,18.335,0.049832984,1.9
103,ZWE,ZWE,Zimbabwe,Low income,Low income,Sub-Saharan Africa,"Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency.",Zimbabwe,1960,,,1.9
104,UGA,UGA,Uganda,Low income,Low income,Sub-Saharan Africa,Fiscal year end: June 30; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2009/10. Uganda reports using SNA 2008. Price valuation is in producer prices.,Uganda,1960,421.705,0.062123143,1.9
105,MWI,MWI,Malawi,Low income,Low income,Sub-Saharan Africa,"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2009.",Malawi,1960,,,1.9
106,GNB,GNB,Guinea-Bissau,Low income,Low income,Sub-Saharan Africa,"In 2010, national accounts data for 2003-09 were revised. The new data had broader coverage of all sectors of the economy, and GDP in current prices averaged 89 percent higher than previous estimates.",Guinea-Bissau,1960,18.335,0.029744957,1.9
107,LBR,LBR,Liberia,Low income,Low income,Sub-Saharan Africa,National accounts local currency data have been revised to be reported in U.S. dollars instead of Liberian dollars.,Liberia,1960,165.015,0.147293527,1.9
108,SSD,SSD,South Sudan,Low income,Low income,Sub-Saharan Africa,"South Sudan declared its independence on July 9, 2011. Data are shown separately for South Sudan where available.",South Sudan,1960,,,1.9
109,TZA,TZA,Tanzania,Low income,Low income,Sub-Saharan Africa,The new base year is 2007. Tanzania reports using a blend of SNA 1993 and SNA 2008.,Tanzania,1960,828.742,0.082261435,1.9
110,LAO,LAO,Lao PDR,Lower middle income,Lower middle income & Upper middle income,East Asia & Pacific,,Lao PDR,1960,80.674,0.038054779,1.9
111,PNG,PNG,Papua New Guinea,Lower middle income,Lower middle income & Upper middle income,East Asia & Pacific,,Papua New Guinea,1960,179.683,0.091350751,1.9
112,VUT,VUT,Vanuatu,Lower middle income,Lower middle income & Upper middle income,East Asia & Pacific,"2013 national accounts estimates are based on IMF reports. Based on official government statistics, value added is measured at producer prices through 1997 and at basic prices from 1998 onward.",Vanuatu,1960,,,1.9
113,VNM,VNM,Vietnam,Lower middle income,Lower middle income & Upper middle income,East Asia & Pacific,"Based on data from the Vietnam Statistics Office, national accounts data have been revised from 2000 onward; the new base year is 2010.",Vietnam,1960,7491.681,0.215631379,1.9
114,KIR,KIR,Kiribati,Lower middle income,Lower middle income & Upper middle income,East Asia & Pacific,"Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank.",Kiribati,1960,,,1.9
115,TLS,TLS,Timor-Leste,Lower middle income,Lower middle income & Upper middle income,East Asia & Pacific,"Based on official government statistics, national account data have been revised, and value added is measured at basic prices; the new base year is 2010.",Timor-Leste,1960,,,1.9
116,IDN,IDN,Indonesia,Lower middle income,Lower middle income & Upper middle income,East Asia & Pacific,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted. Statistics Indonesia revised national accounts based on SNA2008. The new base year is 2010. Price valuation is in basic prices.,Indonesia,1960,21404.279,0.243805292,1.9
117,MMR,MMR,Myanmar,Lower middle income,Lower middle income & Upper middle income,East Asia & Pacific,Fiscal year end: March 31; reporting period for national accounts data: FY.,Myanmar,1960,2717.247,0.126463436,1.9
118,WSM,WSM,Samoa,Lower middle income,Lower middle income & Upper middle income,East Asia & Pacific,"Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa. The new base year is 2008/09. Other methodological changes include increased reliance on summary data from the country’s Value Added Goods and Services Tax system, incorporation of more recent benchmarks, and use of improved data sources.",Samoa,1960,14.668,0.135008514,1.9
119,FSM,FSM,"Micronesia, Fed. Sts.",Lower middle income,Lower middle income & Upper middle income,East Asia & Pacific,"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward. 2013 estimates are based on the IMF Small States Monitor, Issue 1.2014. In 2010, the government statistical office revised national accounts data for 1995-2008.","Micronesia, Fed. Sts.",1960,,,1.9
120,SLB,SLB,Solomon Islands,Lower middle income,Lower middle income & Upper middle income,East Asia & Pacific,National accounts data have been revised from 2007 to 2013 based on IMF reports.,Solomon Islands,1960,11.001,0.093332428,1.9
121,PHL,PHL,Philippines,Lower middle income,Lower middle income & Upper middle income,East Asia & Pacific,"Source for GNI and net income from abroad is changed to national statistical office from central bank. April 2012 database update: National accounts data were revised for 1998 onward. Because intellectual property products are now reported as a part of gross fixed capital formation, gross domestic product (GDP) in current prices averaged 4 percent higher than previous estimates.",Philippines,1960,8335.091,0.317249028,1.9
122,ARM,ARM,Armenia,Lower middle income,Lower middle income & Upper middle income,Europe & Central Asia,,Armenia,1960,,,1.9
123,GEO,GEO,Georgia,Lower middle income,Lower middle income & Upper middle income,Europe & Central Asia,,Georgia,1960,,,1.9
124,KGZ,KGZ,Kyrgyz Republic,Lower middle income,Lower middle income & Upper middle income,Europe & Central Asia,,Kyrgyz Republic,1960,,,1.9
125,MDA,MDA,Moldova,Lower middle income,Lower middle income & Upper middle income,Europe & Central Asia,,Moldova,1960,,,1.9
126,TJK,TJK,Tajikistan,Lower middle income,Lower middle income & Upper middle income,Europe & Central Asia,,Tajikistan,1960,,,1.9
127,UKR,UKR,Ukraine,Lower middle income,Lower middle income & Upper middle income,Europe & Central Asia,,Ukraine,1960,,,1.9
128,UZB,UZB,Uzbekistan,Lower middle income,Lower middle income & Upper middle income,Europe & Central Asia,,Uzbekistan,1960,,,1.9
129,KSV,KSV,Kosovo,Lower middle income,Lower middle income & Upper middle income,Europe & Central Asia,"Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999).",Kosovo,1960,,,1.9
130,BOL,BOL,Bolivia,Lower middle income,Lower middle income & Upper middle income,Latin America & Caribbean,,Bolivia,1960,1004.758,0.272037723,1.9
131,GTM,GTM,Guatemala,Lower middle income,Lower middle income & Upper middle income,Latin America & Caribbean,,Guatemala,1960,1345.789,0.326049925,1.9
132,HND,HND,Honduras,Lower middle income,Lower middle income & Upper middle income,Latin America & Caribbean,,Honduras,1960,616.056,0.307669104,1.9
